0.0062          321 -311             # D+ -> K+ Kbar0 (PDG K0S+K0L = 0.62%)
0.0103          -311 321 111         # D+ -> Kbar0 K+ pi0 (PDG K0S+K0L = 1.03%)
0.0038          321 -311 211 -211    # D+ -> K+ Kbar0 pi+pi- (PDG K0Sx2 = 0.38%)
0.0046          -311 -321 211 211    # D+ -> Kbar0 K- 2pi+ (PDG K0Sx2 = 0.46%)
0.0051          321 -311 -311        # D+ -> K+ Kbar0 Kbar0 (PDG ~0.51%)
0.0012          211 111              # D+ -> pi+ pi0 (PDG 0.12%)
0.0046          211 111 111          # D+ -> pi+ 2pi0 (PDG 0.46%)
0.0033          211 211 -211         # D+ -> 2pi+ pi- (PDG 0.33%)
0.0042          211 111 111 111      # D+ -> pi+ 3pi0 (PDG 0.42%)
0.002           211 111 111 111 111  # D+ -> pi+ 4pi0 (PDG 0.20%)
0.0117          211 211 -211 111     # D+ -> 2pi+pi-pi0 (PDG 1.17%)
0.0068          211 211 -211 111 111 # D+ -> 2pi+pi-2pi0 non-omega (1.07-0.39%)
0.0039          223 211 111          # D+ -> omega pi+ pi0 (PDG 0.39%)
0.0017          211 211 211 -211 -211 # D+ -> 3pi+2pi- (PDG 0.17%)
0.0034          211 211 -211 111 111 111 # D+ -> 2pi+pi-3pi0 (PDG 0.34%)
0.0023          211 211 211 -211 -211 111 # D+ -> 3pi+2pi-pi0 (PDG 0.23%)
0.0038          221 211              # D+ -> eta pi+ (PDG 0.38%)
0.0021          221 211 111          # D+ -> eta pi+ pi0 (PDG 0.21%)
0.0034          221 211 211 -211     # D+ -> eta 2pi+pi- (PDG 0.34%)
0.0032          221 211 111 111      # D+ -> eta pi+ 2pi0 (PDG 0.32%)
0.0039          221 211 211 -211 111 # D+ -> eta 2pi+pi-pi0 (PDG 0.39%)
0.003           221 221 211          # D+ -> eta eta pi+ (PDG 0.30%)
0.005           331 211              # D+ -> eta' pi+ (PDG 0.50%)
0.0038          -311 211 331         # D+ -> Kbar0 pi+ eta' (PDG K0Sx2 = 0.38%)
0.0016          331 211 111          # D+ -> eta' pi+ pi0 (PDG 0.16%)
0.0036          -321 211 211 211 -211 111 # D+ -> catch-all

423                                      # D*(2007)0 (PDG2025 updated)
2                                        # 2 decay channels
0.647           421 111              # D*(2007)0 -> D0 pi0 (PDG2025 64.7%)
0.353           421 22               # D*(2007)0 -> D0 gamma (PDG2025 35.3%)

413                                      # D*(2010)+ (PDG2025 updated)
3                                        # 3 decay channels
0.677           421 211              # D*(2010)+ -> D0 pi+ (PDG 67.7%)
0.307           411 111              # D*(2010)+ -> D+ pi0 (PDG 30.7%)
0.016           411 22               # D*(2010)+ -> D+ gamma (PDG 1.6%)

10421                                    # D(0)*(2300)0 (PDG2025 updated)
